season,player,link,tm,mp
1995,Jerome Kersey,/players/k/kerseje01.html,POR,1140.3000000000002
1995,Randolph Keys,/players/k/keysra01.html,LAL,82.80000000000001
1995,Jason Kidd*,NA,DAL,2670.2
1995,Rich King,/players/k/kingri01.html,SEA,6
1995,Stacey King,/players/k/kingst01.html,MIN,790
1995,Greg Kite,/players/k/kitegr01.html,NYK,16
1995,Greg Kite,/players/k/kitegr01.html,IND,61.199999999999996
1995,Joe Kleine,/players/k/kleinjo01.html,PHO,967.5
1995,Negele Knight,/players/k/knighne01.html,POR,42.900000000000006
1995,Negele Knight,/players/k/knighne01.html,DET,664.4
1995,Jon Koncak,/players/k/koncajo01.html,ATL,942.4
1995,Larry Krystkowiak,/players/k/krystla01.html,CHI,286.9
1995,Toni Kukoč,/players/k/kukocto01.html,CHI,2583.9
1995,Christian Laettner,/players/l/laettch01.html,MIN,2770.2000000000003
1995,Andrew Lang,/players/l/langan01.html,ATL,2337
1995,Antonio Lang,/players/l/langan02.html,PHO,52.800000000000004
1995,Eric Leckner,/players/l/leckner01.html,DET,621.3000000000001
1995,Doug Lee,/players/l/leedo01.html,SAC,74.8
1995,Tim Legler,/players/l/legleti01.html,GSW,372
1995,Jim Les,/players/l/lesji01.html,ATL,187.2
1995,Cliff Levingston,/players/l/levincl01.html,DEN,467.4
1995,Alton Lister,/players/l/listeal01.html,MIL,774
1995,Brad Lohaus,/players/l/lohaubr01.html,MIA,732
1995,Grant Long,/players/l/longgr01.html,MIA,62
1995,Grant Long,/players/l/longgr01.html,ATL,2575.4
1995,Luc Longley,/players/l/longllu01.html,CHI,1001
1995,Ryan Lorthridge,/players/l/lorthry01.html,GSW,673.4
1995,George Lynch,/players/l/lynchge01.html,LAL,952
1995,Don MacLean,/players/m/macledo01.html,WSB,1053
1995,Mark Macon,/players/m/maconma01.html,DET,720.5
1995,Gerald Madkins,/players/m/madkige01.html,CLE,28
1995,Rick Mahorn,/players/m/mahorri01.html,NJN,632.2
1995,Dan Majerle,/players/m/majerda01.html,PHO,3091.4
1995,Jeff Malone,/players/m/malonje01.html,PHI,659.3000000000001
1995,Karl Malone*,NA,UTA,3124.2000000000003
1995,Moses Malone*,NA,SAS,149.60000000000002
1995,Danny Manning,/players/m/mannida01.html,PHO,1508.8
1995,Šarūnas Marčiulionis*,NA,SEA,1194.6000000000001
1995,Donyell Marshall,/players/m/marshdo01.html,MIN,1036
1995,Donyell Marshall,/players/m/marshdo01.html,GSW,1049.6
1995,Bob Martin,/players/m/martibo01.html,LAC,14
1995,Darrick Martin,/players/m/martida01.html,MIN,802.4000000000001
1995,Jamal Mashburn,/players/m/mashbja01.html,DAL,2984
1995,Anthony Mason,/players/m/masonan01.html,NYK,2494.7999999999997
1995,Tony Massenburg,/players/m/masseto01.html,LAC,2128
1995,Vernon Maxwell,/players/m/maxweve01.html,HOU,2035.2
1995,Lee Mayberry,/players/m/maybele01.html,MIL,1746.6000000000001
1995,George McCloud,/players/m/mccloge01.html,DAL,802.2
1995,Xavier McDaniel,/players/m/mcdanxa01.html,BOS,1428
1995,Jim McIlvaine,/players/m/mcilvji01.html,WSB,533.5
1995,Derrick McKey,/players/m/mckeyde01.html,IND,2802.6
1995,Aaron McKie,/players/m/mckieaa01.html,POR,827.9999999999999
1995,Nate McMillan,/players/m/mcmilna01.html,SEA,2072
1995,Darnell Mee,/players/m/meeda01.html,DEN,8
1995,Anthony Miller,/players/m/millean01.html,LAL,529
1995,Oliver Miller,/players/m/milleol01.html,DET,1555.2
1995,Reggie Miller*,NA,IND,2664.9
1995,Chris Mills,/players/m/millsch01.html,CLE,2816
1995,Terry Mills,/players/m/millste01.html,DET,2512.7999999999997
1995,Harold Miner,/players/m/minerha01.html,MIA,872.9999999999999
1995,Greg Minor,/players/m/minorgr01.html,BOS,945
1995,Sam Mitchell,/players/m/mitchsa01.html,IND,1377
1995,Eric Mobley,/players/m/mobleer01.html,MIL,588.8000000000001
1995,Eric Montross,/players/m/montrer01.html,BOS,2316.6
1995,Chris Morris,/players/m/morrich01.html,NJN,2130
1995,Dwayne Morton,/players/m/mortodw01.html,GSW,393.59999999999997
1995,Alonzo Mourning*,NA,CHH,2941.4
1995,Chris Mullin*,NA,GSW,890
1995,Eric Murdock,/players/m/murdoer01.html,MIL,2160
1995,Gheorghe Mureșan,/players/m/muresgh01.html,WSB,1722.8000000000002
1995,Lamond Murray,/players/m/murrala01.html,LAC,2559.6
1995,Tracy Murray,/players/m/murratr01.html,POR,313.20000000000005
1995,Tracy Murray,/players/m/murratr01.html,HOU,202.5
1995,Dikembe Mutombo*,NA,DEN,3099.6
1995,Pete Myers,/players/m/myerspe01.html,CHI,1270.8999999999999
1995,Ivano Newbill,/players/n/newbiiv01.html,DET,329.79999999999995
1995,Johnny Newman,/players/n/newmajo01.html,MIL,1894.2
1995,Ken Norman,/players/n/normake01.html,ATL,1879.6
1995,Julius Nwosu,/players/n/nwosuju01.html,SAS,85.10000000000001
1995,Shaquille O'Neal*,NA,ORL,2923
1995,Charles Oakley,/players/o/oaklech01.html,NYK,1565
1995,Hakeem Olajuwon*,NA,HOU,2851.2000000000003
1995,Brian Oliver,/players/o/olivebr01.html,WSB,42
1995,Bo Outlaw,/players/o/outlabo01.html,LAC,1652.3999999999999
1995,Doug Overton,/players/o/overtdo01.html,WSB,1705.6000000000001
1995,Billy Owens,/players/o/owensbi01.html,MIA,2296
1995,Robert Pack,/players/p/packro01.html,DEN,1142.3999999999999
1995,Robert Parish*,NA,CHH,1352.7
1995,Gary Payton*,NA,SEA,3017.6
1995,Anthony Peeler,/players/p/peelean01.html,LAL,1562.1999999999998
1995,Mike Peplowski,/players/p/peplomi01.html,DET,21
1995,Will Perdue,/players/p/perduwi01.html,CHI,1591.1999999999998
1995,Sam Perkins,/players/p/perkisa01.html,SEA,2353.4
1995,Elliot Perry,/players/p/perryel01.html,PHO,1976.2
1995,Tim Perry,/players/p/perryti01.html,PHI,445.2
1995,Chuck Person,/players/p/persoch01.html,SAS,2033.1000000000001
1995,Wesley Person,/players/p/persowe01.html,PHO,1801.8000000000002
1995,Derrick Phelps,/players/p/phelpde01.html,SAC,5.1
1995,Bobby Phills,/players/p/phillbo01.html,CLE,2504
1995,Eric Piatkowski,/players/p/piatker01.html,LAC,1206.9
1995,Ricky Pierce,/players/p/piercri01.html,GSW,672.3
1995,Ed Pinckney,/players/p/pincked01.html,MIL,837
1995,Scottie Pippen*,NA,CHI,3017.8
1995,Olden Polynice,/players/p/polynol01.html,SAC,2535.3
1995,Terry Porter,/players/p/portete01.html,POR,770
1995,Mark Price,/players/p/pricema01.html,CLE,1372.8000000000002
1995,Kevin Pritchard,/players/p/pritcke01.html,PHI,36
1995,Kevin Pritchard,/players/p/pritcke01.html,MIA,158.20000000000002
1995,Kurt Rambis,/players/r/rambiku01.html,LAL,195
1995,Mark Randall,/players/r/randama01.html,DEN,39.2
1995,Dino Rađa*,NA,BOS,2145
1995,Eldridge Recasner,/players/r/recasel01.html,DEN,12.899999999999999
1995,Khalid Reeves,/players/r/reevekh01.html,MIA,1460.6000000000001
1995,J.R. Reid,/players/r/reidjr01.html,SAS,1563.3
1995,Glen Rice,/players/r/ricegl01.html,MIA,3017.6
1995,Pooh Richardson,/players/r/richapo01.html,LAC,2864
1995,Mitch Richmond*,NA,SAC,3173.4
1995,Isaiah Rider,/players/r/rideris01.html,MIN,2647.5
1995,Eric Riley,/players/r/rileyer01.html,LAC,436
1995,Doc Rivers,/players/r/riverdo01.html,NYK,47.099999999999994
1995,Doc Rivers,/players/r/riverdo01.html,SAS,942
1995,Fred Roberts,/players/r/roberfr01.html,CLE,222.6
1995,Clifford Robinson,/players/r/robincl02.html,POR,2722.5
1995,David Robinson*,NA,SAS,3078
1995,Glenn Robinson,/players/r/robingl01.html,MIL,2960
1995,James Robinson,/players/r/robinja02.html,POR,1540.7
1995,Dennis Rodman*,NA,SAS,1568
1995,Carlos Rogers,/players/r/rogerca01.html,GSW,1019.2
1995,Rodney Rogers,/players/r/rogerro01.html,DEN,2144
1995,Tree Rollins,/players/r/rollitr01.html,ORL,479.40000000000003
1995,Sean Rooks,/players/r/rooksse01.html,MIN,2408
1995,Jalen Rose,/players/r/roseja01.html,DEN,1798.2
1995,Donald Royal,/players/r/royaldo01.html,ORL,1841
1995,Clifford Rozier,/players/r/roziecl01.html,GSW,1491.6000000000001
1995,Trevor Ruffin,/players/r/ruffitr01.html,PHO,318.5
1995,Bryon Russell,/players/r/russebr01.html,UTA,863.0999999999999
1995,John Salley,/players/s/sallejo01.html,MIA,1957.5
1995,Danny Schayes,/players/s/schayda01.html,PHO,821.1
1995,Steve Scheffler,/players/s/schefst01.html,SEA,102.60000000000001
1995,Dwayne Schintzius,/players/s/schindw01.html,NJN,318.2
1995,Detlef Schrempf,/players/s/schrede01.html,SEA,2886.4
1995,Byron Scott,/players/s/scottby01.html,IND,1528
1995,Dennis Scott,/players/s/scottde01.html,ORL,1500.3999999999999
1995,Malik Sealy,/players/s/sealyma01.html,LAC,1602
1995,Rony Seikaly,/players/s/seikaro01.html,GSW,1036.8
1995,Charles Shackleford,/players/s/shackch01.html,MIN,239.4
1995,Brian Shaw,/players/s/shawbr01.html,ORL,1833
1995,Lionel Simmons,/players/s/simmoli01.html,SAC,1061.4
1995,Dickey Simpkins,/players/s/simpkdi01.html,CHI,584.1
1995,Scott Skiles,/players/s/skilesc01.html,WSB,2077
1995,Reggie Slater,/players/s/slatere01.html,DEN,235
1995,Charles Smith,/players/s/smithch01.html,NYK,2150.8
1995,Chris Smith,/players/s/smithch03.html,MIN,1075.2
1995,Doug Smith,/players/s/smithdo03.html,DAL,825.3
1995,Kenny Smith,/players/s/smithke01.html,HOU,2033.1000000000001
1995,Michael Smith,/players/s/smithmi01.html,LAC,319
1995,Michael Smith,/players/s/smithmi02.html,LAC,319
1995,Michael Smith,/players/s/smithmi01.html,SAC,1738.3999999999999
1995,Michael Smith,/players/s/smithmi02.html,SAC,1738.3999999999999
1995,Steve Smith,/players/s/smithst01.html,MIA,62
1995,Steve Smith,/players/s/smithst01.html,ATL,2605.2
1995,Tony Smith,/players/s/smithto02.html,LAL,1024.8
1995,Rik Smits,/players/s/smitsri01.html,IND,2379
1995,Elmore Spencer,/players/s/spencel01.html,LAC,368.59999999999997
1995,Felton Spencer,/players/s/spencfe01.html,UTA,904.4000000000001
1995,Latrell Sprewell,/players/s/sprewla01.html,GSW,2773.8
1995,John Starks,/players/s/starkjo01.html,NYK,2728
1995,Larry Stewart,/players/s/stewala01.html,WSB,348
1995,Bryant Stith,/players/s/stithbr01.html,DEN,2332.8
1995,John Stockton*,NA,UTA,2870
1995,Mark Strickland,/players/s/stricma01.html,IND,9.2
1995,Rod Strickland,/players/s/stricro02.html,POR,2265.6
1995,Derek Strong,/players/s/stronde01.html,BOS,1344
1995,Greg Sutton,/players/s/suttogr01.html,CHH,689
1995,Aaron Swinson,/players/s/swinsaa01.html,PHO,51.300000000000004
1995,Žan Tabak,/players/t/tabakza01.html,HOU,181.3
1995,Roy Tarpley,/players/t/tarplro01.html,DAL,1353
1995,Brooks Thompson,/players/t/thompbr01.html,ORL,247
1995,LaSalle Thompson,/players/t/thompla01.html,IND,452.2
1995,Otis Thorpe,/players/t/thorpot01.html,HOU,1188
1995,Otis Thorpe,/players/t/thorpot01.html,POR,907.8
1995,Sedale Threatt,/players/t/threase01.html,LAL,1386.5
1995,Wayman Tisdale,/players/t/tisdawa01.html,PHO,1274
1995,Tom Tolbert,/players/t/tolbeto01.html,CHH,57
1995,Keith Tower,/players/t/towerke01.html,ORL,6.8999999999999995
1995,Anthony Tucker,/players/t/tuckean01.html,WSB,979.6
1995,Henry Turner,/players/t/turnehe02.html,SAC,150
1995,Jeff Turner,/players/t/turneje01.html,ORL,578.2
1995,B.J. Tyler,/players/t/tylerbj01.html,PHI,808.5
1995,Nick Van Exel,/players/v/vanexni01.html,LAL,2944
1995,Loy Vaught,/players/v/vaughlo01.html,LAC,2968
1995,Fred Vinson,/players/v/vinsofr01.html,ATL,27
1995,Kenny Walker,/players/w/walkeke01.html,WSB,266.4
1995,Rex Walters,/players/w/waltere01.html,NJN,1432
1995,Charlie Ward,/players/w/wardch01.html,NYK,44
1995,Jamie Watson,/players/w/watsoja01.html,UTA,672
1995,Clarence Weatherspoon,/players/w/weathcl01.html,PHI,2994.4
1995,Spud Webb,/players/w/webbsp01.html,SAC,2454.7999999999997
1995,Chris Webber,/players/w/webbech01.html,WSB,2068.2
1995,Bill Wennington,/players/w/wennibi01.html,CHI,956.3
1995,David Wesley,/players/w/wesleda01.html,BOS,1382.1000000000001
1995,Doug West,/players/w/westdo01.html,MIN,2328.7999999999997
1995,Mark West,/players/w/westma01.html,DET,1541
1995,Ennis Whatley,/players/w/whatlen01.html,ATL,291.6
1995,Chris Whitney,/players/w/whitnch01.html,SAS,180
1995,Morlon Wiley,/players/w/wileymo01.html,DAL,406.59999999999997
1995,Morlon Wiley,/players/w/wileymo01.html,ATL,17
1995,Dominique Wilkins*,NA,BOS,2425.5
1995,Aaron Williams,/players/w/williaa01.html,MIL,72
1995,Buck Williams,/players/w/willibu01.html,POR,2419
1995,Herb Williams,/players/w/willihe01.html,NYK,744.8000000000001
1995,Hot Rod Williams,/players/w/williho01.html,CLE,2641.8
1995,Jayson Williams,/players/w/willija01.html,NJN,982.5
1995,John Williams,/players/w/willijo02.html,IND,401.20000000000005
1995,Lorenzo Williams,/players/w/willilo01.html,DAL,2386.2000000000003
1995,Micheal Williams,/players/w/willimi02.html,MIN,28
1995,Monty Williams,/players/w/willimo01.html,NYK,504.3
1995,Reggie Williams,/players/w/willire01.html,DEN,2197.7999999999997
1995,Scott Williams,/players/w/willisc01.html,PHI,1778.7
1995,Walt Williams,/players/w/williwa02.html,SAC,2741.2000000000003
1995,Kevin Willis,/players/w/willike02.html,ATL,89
1995,Kevin Willis,/players/w/willike02.html,MIA,2301
1995,Trevor Wilson,/players/w/wilsotr01.html,SAC,147
1995,David Wingate,/players/w/wingada01.html,CHH,514.8000000000001
1995,Dontonio Wingfield,/players/w/wingfdo01.html,SEA,82
1995,Joe Wolf,/players/w/wolfjo01.html,CHH,585.9000000000001
1995,David Wood,/players/w/woodda01.html,GSW,1333.8000000000002
1995,Randy Woods,/players/w/woodsra01.html,LAC,496
1995,Haywoode Workman,/players/w/workmha01.html,IND,1028.1000000000001
1995,Sharone Wright,/players/w/wrighsh01.html,PHI,2046.1
1995,Danny Young,/players/y/youngda01.html,MIL,77
1996,Mahmoud Abdul-Rauf,/players/a/abdulma02.html,DEN,2029.2
1996,Michael Adams,/players/a/adamsmi01.html,CHH,329.7
1996,Rafael Addison,/players/a/addisra01.html,CHH,514.0999999999999
